Id,SalePrice
1461,126304.23636363636
1462,154362.27272727274
1463,173073.6
1464,181498.63636363635
1465,200019.33636363636
1466,183045.81818181818
1467,167566.58181818182
1468,176347.4909090909
1469,178265.93636363637
1470,120651.16363636364
1471,195089.0909090909
1472,94867.27272727272
1473,98514.54545454546
1474,153976.36363636365
1475,141626.26363636364
1476,393526.7272727273
1477,248183.44545454546
1478,307772.93636363634
1479,251488.4818181818
1480,449880.41818181815
1481,308961.9
1482,205490.96363636362
1483,176944.64545454545
1484,181045.67272727273
1485,171372.94545454546
1486,201706.0909090909
1487,332532.2363636364
1488,242534.6
1489,211248.04545454544
1490,196253.70909090908
1491,188803.45454545456
1492,95932.14545454546
1493,174131.0909090909
1494,297603.2545454545
1495,306245.17272727273
1496,226957.17272727273
1497,192165.64545454545
1498,153948.18181818182
1499,153714.29090909092
1500,151627.66363636364
1501,176374.70909090908
1502,162717.62727272726
1503,302991.67272727273
1504,228943.8
1505,216302.45454545456
1506,185883.81818181818
1507,221135.45454545456
1508,202570.34545454546
1509,162211.5909090909
1510,150162.6090909091
1511,148453.43636363637
1512,164549.66363636364
1513,155593.72727272726
1514,162573.68181818182
1515,171239.4818181818
1516,157349.36363636365
1517,151646.36363636365
1518,130099.16363636364
1519,228127.47272727272
1520,137851.36363636365
1521,145261.92727272728
1522,163807.27272727274
1523,113958.36363636363
1524,120462.3090909091
1525,124279.3090909091
1526,128469.62727272727
1527,102683.38181818182
1528,129719.31818181818
1529,144060.9090909091
1530,167244.54545454544
1531,125716.5090909091
1532,106734.09090909091
1533,150756.7
1534,117366.13636363637
1535,159953.4090909091
1536,118329.08181818182
1537,76721.3
1538,189378.69090909092
1539,241194.5909090909
1540,112491.56363636363
1541,155889.84545454546
1542,139363.63636363635
1543,227123.65454545454
1544,79612.82727272727
1545,107218.63636363637
1546,127664.12727272727
1547,138679.83636363636
1548,133666.79090909092
1549,115247.05454545455
1550,144207.67272727273
1551,114497.1
1552,149361.03636363638
1553,152012.25454545455
1554,112495.97272727273
1555,170455.9090909091
1556,97374.42727272728
1557,129932.51818181819
1558,96502.72727272728
1559,121773.5
1560,151963.03636363638
1561,153286.94545454546
1562,126919.54545454546
1563,124325.3
1564,165724.74545454545
1565,152867.71818181817
1566,214613.0181818182
1567,75874.93636363637
1568,222755.67272727273
1569,146436.4909090909
1570,125161.15454545454
1571,127778.57272727272
1572,146197.27272727274
1573,239683.70909090908
1574,122640.03636363636
1575,205830.18181818182
1576,214073.8909090909
1577,207274.55454545454
1578,153795.02727272728
1579,145536.27272727274
1580,193223.77272727274
1581,142831.12727272726
1582,130763.27272727272
1583,340880.55454545456
1584,245731.57272727272
1585,140076.36363636365
1586,71100.82727272727
1587,103576.57272727272
1588,147701.26363636364
1589,101454.13636363637
1590,135737.7
1591,106877.6909090909
1592,126336.89090909091
1593,119730.45454545454
1594,139935.66363636364
1595,124601.67272727273
1596,237729.74545454545
1597,165418.5909090909
1598,184367.57272727272
1599,211309.0909090909
1600,191695.81818181818
1601,81038.93636363637
1602,116616.4
1603,93814.44545454545
1604,284383.33636363636
1605,250567.16363636364
1606,168957.4
1607,172729.05454545454
1608,211736.62727272726
1609,200192.41818181818
1610,155538.86363636365
1611,152929.9090909091
1612,156173.75454545455
1613,169132.2
1614,122340.89090909091
1615,87442.72727272728
1616,83131.81818181818
1617,87951.81818181818
1618,128101.81818181818
1619,131518.63636363635
1620,153287.97272727272
1621,139502.8
1622,153927.68181818182
1623,294451.06363636366
1624,212389.4
1625,131371.73636363636
1626,171502.72727272726
1627,187591.81818181818
1628,281014.5272727273
1629,173098.77272727274
1630,352883.8181818182
1631,221561.92727272728
1632,248923.93636363637
1633,171236.9090909091
1634,182393.0909090909
1635,180210.29090909092
1636,164739.36363636365
1637,168554.83636363636
1638,213150.03636363638
1639,181110.9090909091
1640,249538.20909090908
1641,186214.0
1642,218300.37272727274
1643,225745.94545454546
1644,226297.47272727272
1645,181251.4090909091
1646,155466.36363636365
1647,162552.18181818182
1648,141565.02727272728
1649,141870.9090909091
1650,122374.09090909091
1651,122002.03636363636
1652,94251.81818181818
1653,97960.0
1654,153173.5
1655,157937.0909090909
1656,150214.8818181818
1657,151902.5909090909
1658,149064.26363636364
1659,145551.68181818182
1660,145001.95454545456
1661,441531.9909090909
1662,385411.12727272726
1663,370748.0272727273
1664,467784.89090909093
1665,318059.7727272727
1666,331127.85454545455
1667,362848.88181818184
1668,328938.83636363636
1669,300604.0
1670,339952.7636363636
1671,268370.1818181818
1672,472470.9818181818
1673,293751.93636363634
1674,248623.58181818182
1675,186909.02727272728
1676,191534.04545454544
1677,210593.4818181818
1678,464891.56363636366
1679,364074.4909090909
1680,331419.7909090909
1681,264231.3181818182
1682,306040.92727272725
1683,190994.0
1684,168191.28181818183
1685,174517.66363636364
